dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist,dist
804.2887438561224,682.2471254464223,825.676022475835,1041.45556463847,1220.6800561389334,531.313737850755,986.272081193034,,,288.860277849019,,928.3913843170326,583.345455302605,,,825.676022475835,,1041.45556463847,1222.4079197753,1217.2243288662,,531.313737850755,,585.998615258422,1186.40881416034,,,,,,288.860277849019,,928.3913843170326,583.345455302605,,,,,,,825.676022475835,,1041.45556463847,1142.54336700881,1302.27247254179,1217.2243288662
938.9481381294951,883.0001905521361,677.08567396925,,152.035270163793,1096.9945964230878,622.8552215423094,,,597.1693149263496,,574.4682856428633,1140.970100679088,677.08567396925,,,,,152.035270163793,,,1096.9945964230878,694.110957407234,551.599485677385,,,,,,,597.1693149263496,,574.4682856428633,1023.2304549004394,1297.95629505062,317.37680395901,,1036.79454397949,,,,,,152.035270163793,,
1190.29847276201,917.8467501137237,630.7375847334814,,,1190.29847276201,,,,,,908.024568255178,947.313295689361,502.4019999148537,1272.41550882662,,,,,,,1190.29847276201,,,,,,,,,,,908.024568255178,947.313295689361,,613.9135627365231,670.269311364699,0.0,,1272.41550882662,,,,,,
23.7288293966762,668.5599632447852,896.567272655197,,,23.7288293966762,,,,883.4371089676,,,561.1213903833777,896.567272655197,,,,,,,,23.7288293966762,,,,,,,,,883.4371089676,,,487.02752100651895,783.402998513954,896.567272655197,,,,,,,,,,
221.7995131600075,573.127893134477,1181.266491610094,,,118.766273627396,,,324.832752692619,910.84618161845,,381.929258541811,411.7152456760503,1181.266491610094,,,,,,,,118.766273627396,,,,,,,,324.832752692619,910.84618161845,,381.929258541811,411.7152456760503,,1181.266491610094,,,,,,,,,,
1123.0064832783287,620.9927726218594,,,,1050.7773006859782,1339.69403105538,,,85.282913931737,,,888.8477019669208,,,,,,,,,1050.7773006859782,,1339.69403105538,,,,,,,85.282913931737,,,1104.8268407452865,672.868563188555,,,,,,,,,,,
197.1370587218326,828.8887900516082,186.426297435342,,,346.805187679282,,47.4689297643832,,901.9386647536572,,1118.2368798111313,623.3398495868063,186.426297435342,,,,,,,,346.805187679282,,,,,47.4689297643832,,,,901.9386647536572,,1118.2368798111313,640.1612816631485,589.6969854341216,186.426297435342,,,,,,,,,,
0.0,985.7639949721538,1231.847783120425,,,0.0,,,,1157.179684905296,,,882.9145810122684,1231.847783120425,,,,,,,,0.0,,,,,,,,,1157.179684905296,,,508.189035286864,976.5959674436194,,,1231.847783120425,,,,,,,,
816.1532510440899,938.2071661502674,472.26540318237016,,,1053.44856911309,,0.0,1395.01118401918,714.8175101757,,1057.8185714426857,915.6330728331528,472.26540318237016,,,,,,,,1053.44856911309,,,,,0.0,,,1395.01118401918,714.8175101757,,1057.8185714426857,853.8979431708134,1224.30872114485,396.084173251576,827.775439558233,332.6009999598359,,,,,,,,
413.4471404162786,759.3273297539264,,,,617.9608168845295,4.41978747977676,,,136.891432454814,,,1174.2845946200014,,,,,,,,,617.9608168845295,4.41978747977676,,,,,,,,136.891432454814,,,1053.897523749677,1415.05873636065,,,,,,,,,,,
673.23764255725,,1091.13850733971,,,0.0,791.004224411417,,892.089881981708,,,,,1091.13850733971,,,,,,,,0.0,1007.36932328694,574.639125535894,,,,,621.043909005546,1163.13585495787,,,,,,1091.13850733971,,,,,,,,,,
846.0504431510846,1340.89784745569,,,,1023.6750213995978,712.8320094646995,,,,,,1340.89784745569,,,,,,,,,1023.6750213995978,0.0,950.442679286266,,,,,,,,,,,1340.89784745569,,,,,,,,,,,
626.0375074398924,,,,279.786650782268,709.648541165074,136.912143573448,,812.7693604755523,,,,,,,,,,279.786650782268,,714.336707944379,706.5230966455374,0.0,273.824287146896,,,,,812.7693604755523,,,,,,,,,,,,,,,279.786650782268,,
486.5636640925474,964.5109061610883,,,,383.66682327584095,563.7362947050772,,,1387.42081033075,,,753.0559540762575,,,,,,,,,383.66682327584095,537.47672067494,589.9958687352146,,,,,,,1387.42081033075,,,1078.6937825094,427.418125643115,,,,,,,,,,,
667.180185008303,851.0745073246031,756.937181905718,,,0.0,889.5735800110707,,,750.066019475417,,,1002.587239098382,,756.937181905718,,,,,,,0.0,1095.3563107436705,478.008118545871,,,,,,,750.066019475417,,,781.394830048784,1223.77964814798,,,,756.937181905718,,,,,,,
871.0961018676715,833.0399690848944,,,,931.972450538624,810.219753196719,,,720.2111806721138,,1031.699552876767,813.42903496976,,,,,,,,,931.972450538624,,810.219753196719,,,,,,,720.2111806721138,,1031.699552876767,1220.14355245464,0.0,,,,,,,,,,,
545.1765116965671,,,,,160.6478858748019,799.7730138627085,,1189.56938482958,,,,,,,,,,,,208.2328816843905,65.4778942556247,304.285917135507,1295.26011058991,,,,,1189.56938482958,,,,,,,,,,,,,,,,,
1123.83106553029,624.4161783168754,831.6676756189132,,,1123.83106553029,,,,,165.480031411921,,1083.35232522183,831.6676756189132,,,,,,,,1123.83106553029,,,,,,,,,,165.480031411921,,1083.35232522183,,0.0,,1247.50151342837,,,,,,,,
